,Cluster,ra,dec,z,R500,Nhtot,T_M24,T_M24_hi_err,T_M24_lo_err,T_P26,T_P26_hi_err,T_P26_lo_err
0,A0458,56.482778387402384,-24.28030388391261,0.106,7.857,1.28,3.564,1.288,0.983,3.181869699,1.273027571,0.732505824
1,A0478,63.35669329005308,10.467366926647374,0.088,12.893,25.7,12.910,8.066,3.099,63.92891719,-63.92891719,33.522526920000004
2,A0496,68.40986048747858,-13.259277355378766,0.033,25.535,5.99,3.915,0.492,0.387,3.995079987,0.945360834,0.735046036
3,A0500,69.72750321725279,-22.11357568173907,0.067,10.287,3.53,4.811,2.214,1.193,5.451770349,5.067346531,2.8414993880000003
4,A0520,73.54619172836067,2.918380555922524,0.203,6.128,6.87,6.036,3.475,1.770,6.384994202,5.236361998,2.2409787189999992
5,A0545,83.09642389887966,-11.530027855392424,0.154,7.113,16.3,4.888,2.669,1.482,10.97764903,34.80624838,4.568055781
6,A0550,88.21860752430585,-21.05701373770339,0.099,9.189,4.87,4.577,2.770,1.317,2.91167364,1.258018164,0.6452431600000001
7,A0586,113.09226077921733,31.62962064358773,0.171,6.615,5.84,3.241,3.979,1.070,0.243122274,0.0636993702,0.0262335590999999
8,A0602,118.35122255114882,29.366080655522303,0.062,10.84,3.99,2.573,1.245,0.690,2.17268048,0.5969597320000002,0.2853918979999998
9,A0697,130.7356521437194,36.3624308380911,0.282,4.911,3.28,,,,63.9289498,-63.9289498,52.07728464
10,A0761,137.6510918947841,-10.581083777350027,0.091,8.428,5.49,2.893,2.034,0.766,2.124377418,1.7254970910000005,0.4978932059999998
11,A0795,141.02324604373146,14.168446694775067,0.136,7.315,3.62,3.006,2.297,0.909,3.116077777,4.174364213,1.22516894
12,A0907,149.5924978010327,-11.059371817851536,0.164,6.683,6.67,6.468,8.922,2.643,4.122000146,4.366468387,1.5869679850000002
13,A1084,161.13720657658854,-7.072910151558191,0.134,7.827,3.89,,,,2.988952475,2.9878794020000004,0.8654967089999999
14,A1185,167.69492236128625,28.706104222045155,0.031,15.621,1.95,,,,6.670505925,-6.670505925,4.228143167
15,A1205,168.33585957946718,2.532134931308736,0.078,9.864,4.4,6.462,7.680,3.010,2.298308875,2.4441827490000003,0.661413859
16,A1285,172.58146185819538,-14.582977679158224,0.095,8.753,3.88,6.843,8.637,2.247,63.98255276,-63.98255276,57.354827816
17,A1307,173.22056810022235,14.468699291162109,0.083,10.552,3.26,3.302,1.311,0.763,3.843249407,2.315536906,1.0623591879999998
18,A1348,175.35081299497938,-12.27246992966311,0.113,7.384,2.98,1.929,1.124,0.328,1.993330806,1.735752096,0.4621113569999999
19,A1367,176.1520425015774,19.7589029471555,0.021,34.765,1.89,4.118,0.913,0.593,0.3197668684,0.0165751569,0.0157871561
20,A1413,178.82700392762743,23.40737339679067,0.143,7.926,1.97,6.515,5.783,2.705,3.925640818,3.904855814,1.6259113650000003
21,A1437,180.10557630158385,3.3331935508027666,0.134,7.6,2.29,6.445,5.038,2.514,3.396931393,2.542096795,1.016292559
22,A1553,187.69587566178765,10.560359010795692,0.165,6.43,2.29,2.857,0.886,0.539,2.426168826,1.065931156,0.521912293
23,A1631,193.31016811973123,-15.380497822195933,0.046,12.71,3.99,1.292,0.366,0.165,63.98721191,-63.98721191,62.256429651
24,A1644,194.2900616629754,-17.400125259888444,0.047,17.859,5.1,3.590,0.684,0.558,2.809619756,1.176384429,0.6090733090000002
25,A1648,194.70764477530187,-26.667377621849933,0.075,9.242,8.68,1.606,0.285,0.190,2.07431677,0.5937836780000003,0.4268274639999998
